Cruise;Date;DeciYear;Year;Month;Day;Hours;Minutes;Longitude;Latitude;Pressure;Depth;Temperature;Salinity;Conductivity;O2;Beam;PAR;Fluor;Sig_theta;Season;VertZone;MLD_dens125;MLD_bvfrq;MLD_densT2;DCM;z_par_1pcnt
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;195;193.55499;19.1771;36.574;4.9053;197.09;0.404;0.4;-0.001;26.1882;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;197;195.5392;19.1624;36.5736;4.9038;197.3;0.404;0.38;0.006;26.19179;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;199;197.5229;19.1562;36.5738;4.9033;197.82001;0.404;0.35;0.004;26.19364;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;201;199.5079;19.1577;36.5734;4.9035;196.87;0.404;0.32;0.001;26.19304;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;203;201.4913;19.1223;36.5726;4.8997;196.17;0.404;0.29;0.005;26.20166;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;205;203.47591;19.1127;36.5718;4.8987;196.75;0.404;0.27;0.005;26.20362;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;207;205.46091;19.0315;36.5681;4.8899;197.47;0.404;0.26;0;26.2218;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;209;207.4438;19.0933;36.5715;4.8968;196.52;0.404;0.24;0.008;26.20858;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;211;209.4281;19.0116;36.5682;4.888;197.35001;0.403;0.22;0.007;26.22718;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;213;211.41229;18.9952;36.5675;4.8863;196.94;0.403;0.2;0.003;26.23096;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;215;213.397;18.9906;36.5669;4.8858;196.81;0.403;0.19;0.001;26.23177;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;217;215.3808;18.9867;36.5663;4.8854;197.35001;0.403;0.18;0.003;26.23241;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;219;217.3643;18.979;36.5659;4.8846;196.50999;0.403;0.16;0.007;26.23417;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;221;219.34891;18.9617;36.5663;4.883;196.75;0.403;0.15;0.003;26.23901;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;223;221.3331;18.9579;36.5662;4.8826;195.73;0.403;0.13;0;26.24;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;225;223.3167;18.9524;36.571;4.8827;195.91;0.403;0.12;0.003;26.24518;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;227;225.3009;18.9617;36.5673;4.8833;194.78;0.403;0.11;0.004;26.24006;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;229;227.28481;18.9212;36.5696;4.8795;195.73;0.403;0.1;0.004;26.25229;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;231;229.2683;18.8671;36.5696;4.8739;196.17999;0.403;0.08;0.003;26.26624;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
